filename,true,predicted,probabilities
/content/dataset grape disease/Leaf Blight/da864f35-52f6-44da-8da0-b739e99f4c44___FAM_L.Blight 3770_flipLR.JPG,3,3,"[2.0335894426737333e-11, 1.7903870741520223e-07, 3.147712757112231e-09, 0.9999997615814209]"
/content/dataset grape disease/Leaf Blight/697a3bd4-f0be-441c-8c9d-9f9482c5ee88___FAM_L.Blight 1728_flipLR.JPG,3,3,"[7.019680947628615e-10, 9.90306148196396e-09, 2.629323148095608e-11, 1.0]"
/content/dataset grape disease/Black Rot/0e9897ae-15fd-4f67-809d-2ec7373cf457___FAM_B.Rot 0396.JPG,1,1,"[1.1280477080344902e-17, 0.9999908208847046, 8.94012009666767e-06, 2.2844749025807687e-07]"
/content/dataset grape disease/ESCA/f8bff337-eefa-42cd-a196-b0b9832e6610___FAM_B.Msls 3908_flipLR.JPG,2,2,"[9.200555470016866e-21, 1.3297356417751871e-05, 0.9999866485595703, 3.442224370125979e-12]"
/content/dataset grape disease/ESCA/023df989-ab4c-4f66-a6c8-a41c1142ab7d___FAM_B.Msls 1834_flipLR.JPG,2,2,"[7.901733873336494e-14, 1.640476284592296e-06, 0.9999983310699463, 3.28278937367088e-09]"
/content/dataset grape disease/Black Rot/595c4a79-8ce8-4480-beee-95b8bf853879___FAM_B.Rot 3173.JPG,1,1,"[2.6870057828060068e-12, 0.9999959468841553, 4.08872119805892e-06, 6.063253232824195e-10]"
/content/dataset grape disease/Leaf Blight/bea2e523-b63a-4925-9737-fe163d164dff___FAM_L.Blight 3641_flipLR.JPG,3,3,"[9.644305354328253e-10, 7.437294335943534e-09, 1.1511633868366289e-09, 1.0]"
/content/dataset grape disease/Black Rot/85604599-9409-4a23-99ee-b08e778a11c2___FAM_B.Rot 3395_flipLR.JPG,1,1,"[1.9023825643671444e-06, 0.999721348285675, 0.00022400799207389355, 5.265111758490093e-05]"
/content/dataset grape disease/Healthy/bc9f03e8-d545-4ba9-a68d-7032b3c36670___Mt.N.V_HL 6075_180deg.JPG,0,0,"[0.9999908208847046, 4.730914042738732e-06, 4.4628677642322145e-06, 4.192805658220777e-09]"
/content/dataset grape disease/ESCA/a9b29c40-bf93-40e8-8621-1f10bbd8fe05___FAM_B.Msls 4091.JPG,2,2,"[2.585911628057158e-13, 4.00564523772573e-08, 1.0, 7.630957671311833e-11]"
/content/dataset grape disease/Black Rot/b7da3499-648a-482b-8f9c-be7bb48bb53b___FAM_B.Rot 0561_flipLR.JPG,1,1,"[1.2808941495629726e-14, 0.9999992847442627, 4.56723967090511e-07, 2.2965436130562011e-07]"
/content/dataset grape disease/Leaf Blight/aed2c582-4c84-4dd9-ae5d-ad9d09d89c7d___FAM_L.Blight 3669_flipLR.JPG,3,3,"[1.2653059155987023e-10, 6.247179129559299e-08, 1.1181620074296461e-08, 0.9999998807907104]"
/content/dataset grape disease/Black Rot/9a8bea1b-f6ff-4313-a943-b27b4850761e___FAM_B.Rot 3141.JPG,1,1,"[6.800229068331595e-18, 1.0, 4.2323738957961154e-10, 5.1406445072954554e-11]"
/content/dataset grape disease/Black Rot/a7274e97-1a7e-4446-a127-7f0f3f961bd5___FAM_B.Rot 3248.JPG,1,1,"[9.893430963359151e-09, 0.9998910427093506, 0.00010845280485227704, 4.88066405068821e-07]"
/content/dataset grape disease/Leaf Blight/6b292622-5311-475d-a929-d7f124b6e48a___FAM_L.Blight 4964.JPG,3,3,"[1.5095998605829664e-05, 3.525388365233084e-06, 1.6549854990444146e-05, 0.9999648332595825]"
/content/dataset grape disease/Black Rot/1b9b236c-8b25-4473-b3d3-e83c7218cb3b___FAM_B.Rot 3290.JPG,1,1,"[1.915045899636425e-09, 0.9999983310699463, 1.1189839597136597e-06, 6.131572831691301e-07]"
/content/dataset grape disease/Healthy/ad0a8ced-f3b0-4c21-8ec6-658bcfe9fa2a___Mt.N.V_HL 9034.JPG,0,0,"[0.9999996423721313, 2.7248793799117266e-07, 3.631734557529853e-08, 4.7406516046066827e-08]"
/content/dataset grape disease/Black Rot/3fec6e37-1880-4c71-8b54-617ba9209270___FAM_B.Rot 0394.JPG,1,2,"[1.1088216317749815e-17, 0.08912423253059387, 0.9108757376670837, 1.8479086316691706e-11]"
/content/dataset grape disease/Leaf Blight/19278e7d-ac39-4bd4-a04f-f04014adbd7e___FAM_L.Blight 1486_flipLR.JPG,3,3,"[7.428406547660416e-07, 9.755795105093057e-08, 9.105483728122366e-11, 0.9999991655349731]"
/content/dataset grape disease/Healthy/b4cbb49f-8418-4631-a151-e69fe1f35cea___Mt.N.V_HL 9074.JPG,0,0,"[0.9988642930984497, 0.0010797196300700307, 1.699106360320002e-05, 3.89493907277938e-05]"
/content/dataset grape disease/Healthy/4e7ca108-2631-452b-83bb-be0a7b32d98f___Mt.N.V_HL 6063_270deg.JPG,0,0,"[1.0, 7.0730674650576475e-09, 3.2762299817523655e-11, 5.632180485881655e-11]"
/content/dataset grape disease/Healthy/7e72db84-6afb-408b-b0de-d1b16e9a48af___Mt.N.V_HL 6050_90deg.JPG,0,0,"[0.9999997615814209, 2.501394078535668e-07, 4.2534162858487434e-09, 1.0239026293490383e-09]"
/content/dataset grape disease/ESCA/395ff3a0-926c-45f8-b44e-1f509e2f9e98___FAM_B.Msls 1811_flipLR.JPG,2,2,"[3.6072367315398424e-11, 0.00030682727810926735, 0.9996931552886963, 1.0109836523497506e-07]"
/content/dataset grape disease/Healthy/12331981-d038-4eb0-a1c6-64b27f226cab___Mt.N.V_HL 6106_90deg.JPG,0,0,"[0.9999992847442627, 2.7302368721393577e-07, 1.2327242004950278e-10, 4.385716465549194e-07]"
/content/dataset grape disease/Black Rot/a1a98417-0da2-49dc-9843-64225d34f4a6___FAM_B.Rot 3000.JPG,1,1,"[3.919723434719913e-10, 0.9999945163726807, 1.3864678294339683e-06, 4.079814971191809e-06]"
/content/dataset grape disease/Black Rot/903c52a3-7f01-4b6d-be46-cde5909d5a8b___FAM_B.Rot 0429.JPG,1,1,"[2.508970035040598e-15, 0.9999961853027344, 3.864923201035708e-06, 5.450960793851323e-10]"
/content/dataset grape disease/Black Rot/f6a11232-f765-4768-8e2c-333ff4d80372___FAM_B.Rot 3289_flipLR.JPG,1,1,"[6.609671784946387e-16, 0.9999998807907104, 1.4358862188146304e-07, 1.0528535508702586e-11]"
/content/dataset grape disease/ESCA/775a8448-88ae-40df-9c82-fca13792ecd3___FAM_B.Msls 4022.JPG,2,2,"[2.5260354210469925e-30, 2.628736046859383e-15, 1.0, 2.0784412155255073e-20]"
/content/dataset grape disease/Black Rot/bb06e7a9-9abc-458a-9238-cc3566fbe354___FAM_B.Rot 3581.JPG,1,1,"[5.858296253658985e-17, 0.9999994039535522, 5.394400091063289e-07, 6.502586247236763e-10]"
/content/dataset grape disease/Healthy/34b24f32-ff07-4f68-bdf4-ef5b4c6d4720___Mt.N.V_HL 6060_270deg.JPG,0,0,"[0.9999980926513672, 1.836095066209964e-06, 2.0119139687579946e-09, 3.904854395386792e-08]"
/content/dataset grape disease/ESCA/c6cd3552-c1c5-430b-a45c-7a6dfdacbac3___FAM_B.Msls 1736.JPG,2,2,"[3.7930381546997865e-16, 1.8296593395916716e-07, 0.9999997615814209, 5.42962830252236e-09]"
/content/dataset grape disease/ESCA/d1867d3e-ddbb-4d52-8aa1-1ce40181cb67___FAM_B.Msls 3810.JPG,2,2,"[2.4864326273600336e-25, 2.3303464047330635e-07, 0.9999997615814209, 1.3347980346009917e-15]"
/content/dataset grape disease/Black Rot/74f33f39-7265-4eb9-878a-74a3e1f56520___FAM_B.Rot 3081_flipLR.JPG,1,1,"[1.0115238724753284e-12, 0.9999971389770508, 2.899139190049027e-06, 2.0934713518272474e-08]"
/content/dataset grape disease/Healthy/666536ee-371f-46c2-b20d-f6fc87847cb1___Mt.N.V_HL 8944_270deg.JPG,0,0,"[0.9999998807907104, 2.0736861117143235e-08, 1.0872661104777137e-10, 4.577077206135982e-08]"
/content/dataset grape disease/Leaf Blight/297ec8f2-8140-49a6-a842-8f5747efc5cd___FAM_L.Blight 1712_flipLR.JPG,3,3,"[1.794935727827962e-10, 3.6253441915157225e-10, 4.1761708566116773e-13, 1.0]"
/content/dataset grape disease/Healthy/7042c2f6-b859-41ec-8ee0-b058f9e9e906___Mt.N.V_HL 6164.JPG,0,0,"[0.9995974898338318, 0.000324660271871835, 1.0186244736587469e-08, 7.790798554196954e-05]"
/content/dataset grape disease/ESCA/ae9eae88-91a7-4762-8a7e-8edf3c73768d___FAM_B.Msls 1001_flipLR.JPG,2,2,"[1.2419884656833213e-21, 2.7014029901906156e-10, 1.0, 1.3153774484748023e-16]"
/content/dataset grape disease/Healthy/34b24f32-ff07-4f68-bdf4-ef5b4c6d4720___Mt.N.V_HL 6060_90deg.JPG,0,0,"[0.9991328120231628, 0.0008623788598924875, 2.4103633222694043e-07, 4.56025645689806e-06]"
/content/dataset grape disease/ESCA/b73462d3-e595-4cbe-93ec-5c755a0de73d___FAM_B.Msls 0945_flipLR.JPG,2,2,"[7.371647793420027e-25, 1.8228533266162472e-11, 1.0, 5.857048865295255e-17]"
/content/dataset grape disease/Black Rot/582eaaed-9c7a-4f3d-a1e8-a8b79efb8175___FAM_B.Rot 3331_flipLR.JPG,1,1,"[1.19435721908915e-15, 0.9999996423721313, 3.157465471304022e-07, 2.858184880178555e-13]"
/content/dataset grape disease/Black Rot/be8f8b77-63e6-46fa-b608-3b9e05030645___FAM_B.Rot 3342_flipLR.JPG,1,1,"[1.534744109576991e-09, 0.9950082302093506, 0.004968478810042143, 2.323128137504682e-05]"
/content/dataset grape disease/Healthy/57bd569d-38f1-495d-b290-cdf4dbbbebf8___Mt.N.V_HL 8964.JPG,0,0,"[0.9989609718322754, 0.0008781672222539783, 2.321248575753998e-05, 0.00013768118515145034]"
/content/dataset grape disease/Black Rot/6b67fbeb-d3c7-4a48-a558-c2bd239690eb___FAM_B.Rot 3463.JPG,1,1,"[8.33081492679355e-10, 0.9999998807907104, 8.056881739548771e-08, 3.660008296435535e-09]"
/content/dataset grape disease/Healthy/d36e68e3-09bf-4249-96cc-d806c55bfeed___Mt.N.V_HL 9048.JPG,0,0,"[0.9999581575393677, 2.062151179416105e-05, 3.036409168544196e-08, 2.117430994985625e-05]"
/content/dataset grape disease/Healthy/07c7232b-5cdb-4bab-9413-e0108a48526f___Mt.N.V_HL 8957_270deg.JPG,0,0,"[1.0, 3.1656297028170854e-10, 2.05676198294924e-10, 4.3106447300544914e-09]"
/content/dataset grape disease/ESCA/49279805-f68c-4525-8b06-78a322eb88cd___FAM_B.Msls 1299_flipLR.JPG,2,2,"[6.789199233026011e-06, 0.07474756240844727, 0.9252346754074097, 1.0938507330138236e-05]"
/content/dataset grape disease/Black Rot/8a0a4740-88d4-427d-a869-6f695ce3d7ab___FAM_B.Rot 3246_flipLR.JPG,1,1,"[2.4544559718009396e-09, 0.9998061060905457, 0.00018708356947172433, 6.846763881185325e-06]"
/content/dataset grape disease/Black Rot/b80408b1-75d1-4a21-9fde-080feaefb0ab___FAM_B.Rot 0457_flipLR.JPG,1,1,"[0.00015081749006640166, 0.9997370839118958, 1.688076554273721e-05, 9.527047222945839e-05]"
/content/dataset grape disease/ESCA/fc98a332-919a-4214-a930-9aeaa8c5d8f1___FAM_B.Msls 4359.JPG,2,2,"[1.69367818381172e-11, 0.00043735085637308657, 0.9995625615119934, 6.365070248648408e-08]"
/content/dataset grape disease/Leaf Blight/269ceea5-a0bf-42a6-af53-a0127a28df6f___FAM_L.Blight 1462_flipLR.JPG,3,3,"[0.009914781898260117, 0.0166325680911541, 0.0036410170141607523, 0.9698116779327393]"
/content/dataset grape disease/Leaf Blight/0fc8c252-e026-494e-bd28-02897b969af4___FAM_L.Blight 1437_flipLR.JPG,3,3,"[3.974461648681427e-09, 3.2351707091038406e-07, 9.267146161562323e-09, 0.9999996423721313]"
/content/dataset grape disease/Healthy/f20a3d64-bee7-4bb7-a74b-8cfc8c78fd43___Mt.N.V_HL 6200.JPG,0,0,"[1.0, 1.1632970142727572e-08, 7.969605878010988e-13, 1.2398605753194403e-10]"
/content/dataset grape disease/ESCA/c2238ed4-ff8e-463a-9c7f-129195c9ec30___FAM_B.Msls 1162_flipLR.JPG,2,2,"[3.2540714609387896e-15, 0.00021917166304774582, 0.9997808337211609, 9.791670946279751e-12]"
/content/dataset grape disease/Healthy/b25497ff-4272-43e3-8ead-71b57c676529___Mt.N.V_HL 9087_new30degFlipLR.JPG,0,0,"[1.0, 3.816273194885258e-17, 1.7695350478013011e-15, 4.544249698756886e-11]"
/content/dataset grape disease/Black Rot/0abb363c-2365-4816-a6c4-ce4bac6ffc38___FAM_B.Rot 3122_flipLR.JPG,1,1,"[1.220776734908724e-12, 0.9999904632568359, 9.456406587560195e-06, 5.993720009200842e-08]"
/content/dataset grape disease/ESCA/7529ec48-3ce4-4414-9fc6-e8f1acd3d48d___FAM_B.Msls 0941.JPG,2,2,"[5.8367692901128976e-09, 0.003067240584641695, 0.9969327449798584, 2.720767966479798e-08]"
/content/dataset grape disease/Healthy/3de46830-0f75-4e2b-bb64-e09b13f4f578___Mt.N.V_HL 6145_90deg.JPG,0,0,"[0.9999997615814209, 1.936630837917619e-07, 1.4445045160016434e-09, 1.4162598871436671e-09]"
/content/dataset grape disease/ESCA/68fcaa87-1293-443c-bfb1-9251ee547303___FAM_B.Msls 4190.JPG,2,2,"[3.3155275051684582e-21, 2.8577353816672257e-08, 1.0, 9.750377859708143e-14]"
/content/dataset grape disease/Healthy/c7eee9a0-9a46-448f-a59a-9385132c979b___Mt.N.V_HL 9075_270deg.JPG,0,0,"[0.9991087317466736, 0.000732246960978955, 2.915746699727606e-05, 0.0001298244606005028]"
/content/dataset grape disease/Leaf Blight/4f8f850f-225e-4f66-ac47-ecb430bd4b4a___FAM_L.Blight 4672.JPG,3,3,"[1.0466632421879396e-10, 1.8050920758128086e-09, 1.7297930665974293e-12, 1.0]"
/content/dataset grape disease/Black Rot/3cf73c3d-e012-40dd-b93e-3b3540c0d6c6___FAM_B.Rot 0741.JPG,1,1,"[1.3953990332820802e-16, 0.9999747276306152, 2.5323617592221126e-05, 9.975584802646154e-10]"
/content/dataset grape disease/Healthy/55b69a06-7f10-41b1-8033-cc9e6c2bea5c___Mt.N.V_HL 8949_180deg.JPG,0,0,"[1.0, 1.3585702875185124e-11, 7.285201955586906e-12, 1.0722154934750261e-11]"
/content/dataset grape disease/Black Rot/8a4e5d05-c6e9-4c2f-b5f3-249e34ab2d50___FAM_B.Rot 3274.JPG,1,1,"[2.4447401026327087e-13, 0.9999558925628662, 4.4064840039936826e-05, 4.5923860270136174e-09]"
/content/dataset grape disease/Leaf Blight/08ffc7d1-b618-41eb-a633-f7b453f1da03___FAM_L.Blight 4720_flipLR.JPG,3,3,"[3.5277213008416686e-12, 2.0334543077149547e-11, 1.086016855871702e-13, 1.0]"
/content/dataset grape disease/Leaf Blight/6e5e8612-0fb1-45e4-958f-a5e0c92b3feb___FAM_L.Blight 1374.JPG,3,3,"[3.5385523400321972e-09, 0.0007677072426304221, 1.755284984028549e-06, 0.9992305040359497]"
/content/dataset grape disease/Black Rot/3a4dd05d-a912-4c16-a679-f00028a0d7b6___FAM_B.Rot 5011.JPG,1,1,"[8.530953166108191e-10, 0.999998927116394, 2.07733918955455e-07, 7.937028954074776e-07]"
/content/dataset grape disease/Black Rot/f5bf7627-ca88-4ebb-b3af-e17224b6b6ee___FAM_B.Rot 3041_flipLR.JPG,1,1,"[1.2574099670437754e-18, 0.9999982118606567, 1.7470522379881004e-06, 1.5143948378301686e-12]"
/content/dataset grape disease/Leaf Blight/d61d11c6-030a-400c-b846-41f1e20a8628___FAM_L.Blight 4920_flipLR.JPG,3,3,"[1.4179868390584716e-09, 4.911190103484842e-07, 3.337526877089658e-08, 0.9999995231628418]"
/content/dataset grape disease/Healthy/eb3c315d-2ec9-4923-a602-9bce8c2db303___Mt.N.V_HL 6188_270deg.JPG,0,0,"[1.0, 6.646709294066966e-10, 1.6745531827497273e-12, 7.906292807946524e-12]"
/content/dataset grape disease/Black Rot/3f70c9d3-cf8a-43c3-87e3-c7a788579e7a___FAM_B.Rot 3534.JPG,1,1,"[1.2025707096796623e-09, 0.9999873638153076, 1.2259270079084672e-05, 4.078795825535053e-07]"
/content/dataset grape disease/Healthy/393e4626-fd31-45aa-a67d-bb71837332ee___Mt.N.V_HL 9130_new30degFlipLR.JPG,0,0,"[1.0, 6.310804743364651e-13, 9.229011868963632e-13, 7.122442826495989e-12]"
/content/dataset grape disease/ESCA/72f106c9-5027-40e2-bc38-3d98e72d54a4___FAM_B.Msls 4124.JPG,2,2,"[1.963594217779807e-11, 3.019688665517606e-05, 0.9999698400497437, 3.8744493724429674e-10]"
/content/dataset grape disease/ESCA/32bb6f54-7655-406f-a60f-88767f8f8b83___FAM_B.Msls 3944.JPG,2,2,"[5.6326440771780825e-14, 1.1313712633409523e-07, 0.9999998807907104, 6.601649088500139e-11]"
/content/dataset grape disease/ESCA/34d0d92a-b043-424c-9d25-5a287027f64b___FAM_B.Msls 1780.JPG,2,2,"[2.321392724044141e-21, 2.1457144327996502e-07, 0.9999997615814209, 4.164125438237999e-14]"
/content/dataset grape disease/Black Rot/796d96a4-6f82-424d-acb7-cc27012c4ebd___FAM_B.Rot 3143.JPG,1,1,"[4.25716016258515e-12, 1.0, 7.719731104360861e-11, 6.04798544578955e-10]"
/content/dataset grape disease/Healthy/2d1327cf-7a91-4baf-b3b6-42517c795c9c___Mt.N.V_HL 6171_180deg.JPG,0,0,"[0.9596336483955383, 0.040329281240701675, 3.6905723391100764e-05, 7.768655052586837e-08]"
/content/dataset grape disease/Healthy/2dd116dc-661a-45dd-9c22-8729914ac0dd___Mt.N.V_HL 6047_90deg.JPG,0,0,"[0.9999996423721313, 3.322241184378072e-07, 8.347641466954769e-10, 2.693897549477242e-08]"
/content/dataset grape disease/Black Rot/244704b0-04bb-4cf8-aa12-cde3425ecf77___FAM_B.Rot 5079.JPG,1,1,"[2.9033815351908743e-09, 0.9998329877853394, 4.871114356319595e-07, 0.00016654690261930227]"
/content/dataset grape disease/Black Rot/9337b973-61c3-48bc-9c57-e506856df46d___FAM_B.Rot 3361.JPG,1,1,"[1.5279025942127773e-14, 0.9999986886978149, 3.912841606279471e-08, 1.2548127870104508e-06]"
/content/dataset grape disease/Healthy/d61f8828-71c9-4f3d-85e7-47a33b2fd3fe___Mt.N.V_HL 8906.JPG,0,0,"[0.9996533393859863, 3.185791501891799e-05, 2.9999751859577373e-05, 0.0002847472787834704]"
/content/dataset grape disease/Healthy/07d28aaf-09ea-4223-9a65-88ef49e54924___Mt.N.V_HL 9121.JPG,0,0,"[0.9983919262886047, 0.000436778471339494, 0.0007731683435849845, 0.0003981385088991374]"
/content/dataset grape disease/Leaf Blight/36d3ac8c-2b8e-4084-b97a-7d34d22dfb58___FAM_L.Blight 4845.JPG,3,3,"[8.909054827199725e-09, 8.577320187441728e-09, 3.4818009586601306e-10, 1.0]"
/content/dataset grape disease/ESCA/1abf6a06-12f2-4266-97db-01b6291fc71d___FAM_B.Msls 3905.JPG,2,2,"[1.494849866450922e-17, 3.280696887486556e-07, 0.9999996423721313, 8.869537743150246e-11]"
/content/dataset grape disease/Healthy/b7b4fb14-c350-4c88-8a2c-2e35c239af6a___Mt.N.V_HL 9051.JPG,0,0,"[0.9999966621398926, 3.1852462143433513e-06, 1.2095186718852347e-07, 1.3821951361236984e-09]"
/content/dataset grape disease/Black Rot/1701d7e3-686d-4dc3-b8fe-1fb220c422fc___FAM_B.Rot 0485_flipLR.JPG,1,1,"[2.2251813869419382e-15, 0.9999994039535522, 5.48995274129993e-07, 1.3947253352242228e-09]"
/content/dataset grape disease/Leaf Blight/7a2ec9b8-0f56-48e7-b31d-214e8ceca667___FAM_L.Blight 4564_flipLR.JPG,3,3,"[2.219650383494809e-07, 2.2279638756117492e-07, 5.724247187366416e-10, 0.9999995231628418]"
/content/dataset grape disease/Black Rot/dc51d657-a8d2-46b1-b16e-014478dc364a___FAM_B.Rot 0488.JPG,1,1,"[1.9928668251688038e-16, 0.9999995231628418, 5.199776182962523e-07, 1.9929021974340877e-11]"
/content/dataset grape disease/ESCA/c20579bd-2605-4607-85e4-1db4efc53f1f___FAM_B.Msls 4096_flipLR.JPG,2,2,"[7.590002931712192e-11, 0.002634976292029023, 0.9973649382591248, 1.0319772059119714e-07]"
/content/dataset grape disease/Leaf Blight/0231ac9c-05aa-4710-8753-819c721b29b5___FAM_L.Blight 4639.JPG,3,3,"[9.939270934067324e-11, 9.78740199997219e-10, 1.531600042105341e-12, 1.0]"
/content/dataset grape disease/ESCA/5d4e73de-dec1-4b86-bf84-30d4389a14ce___FAM_B.Msls 0836.JPG,2,2,"[2.229150372737758e-21, 3.127594027318992e-05, 0.9999687671661377, 1.1567408489399078e-11]"
/content/dataset grape disease/Leaf Blight/717d1253-4851-4f56-8b74-fee9e2bb006b___FAM_L.Blight 4560_flipLR.JPG,3,3,"[2.0521576105103634e-10, 1.8761802778044512e-08, 3.058674424849528e-10, 1.0]"
/content/dataset grape disease/Black Rot/57062172-92bd-40fd-8ec5-4f9e8b1e6e11___FAM_B.Rot 3221_flipLR.JPG,1,1,"[2.1386391269029303e-10, 0.9997721314430237, 0.00022787203488405794, 1.245195324628412e-08]"
/content/dataset grape disease/Healthy/bd88082c-b059-4087-88f4-b6ba9cbf07aa___Mt.N.V_HL 6124.JPG,0,0,"[1.0, 4.197173275599653e-09, 5.342466486563113e-12, 1.1123481025165916e-09]"
/content/dataset grape disease/ESCA/0a29217d-3154-4541-8d23-9c5e8d9eeb85___FAM_B.Msls 4446.JPG,2,2,"[2.4271941878248326e-13, 6.690936061204411e-06, 0.9999933242797852, 5.357673860117984e-09]"
/content/dataset grape disease/Healthy/5cb0aff8-6889-46d4-b283-da8f77761523___Mt.N.V_HL 8909_90deg.JPG,0,0,"[1.0, 4.741437464872433e-09, 4.2526336618831095e-11, 3.467051312711078e-09]"
/content/dataset grape disease/Healthy/7664a68e-5bf7-4ca4-988d-12d9360bb512___Mt.N.V_HL 9095_180deg.JPG,0,0,"[1.0, 4.875113090996308e-10, 4.5562789652286995e-11, 1.4266441361598936e-09]"
/content/dataset grape disease/Leaf Blight/27864945-3c63-4d6a-9419-e99c14de3486___FAM_L.Blight 3638.JPG,3,3,"[5.341564968119883e-10, 2.47031867184333e-10, 9.199281961191907e-12, 1.0]"
/content/dataset grape disease/Leaf Blight/1a2da798-3f89-4379-90b0-d04951adb782___FAM_L.Blight 3645_flipLR.JPG,3,3,"[3.2930540072584336e-08, 0.00035517686046659946, 0.0001241630088770762, 0.9995206594467163]"
/content/dataset grape disease/Black Rot/a960711d-3829-4ef9-bd50-b75ed07b81ac___FAM_B.Rot 0722_flipLR.JPG,1,1,"[8.35976912694214e-11, 0.9999374151229858, 6.007407500874251e-05, 2.4522505555069074e-06]"
/content/dataset grape disease/Black Rot/1987f6fe-4090-4186-b0fd-2c86eb01a38c___FAM_B.Rot 3260.JPG,1,1,"[4.562690828456561e-13, 0.9999918937683105, 8.136409633152653e-06, 7.279487235223314e-09]"
/content/dataset grape disease/Leaf Blight/69a14243-b896-4910-8c9a-f96920d738d8___FAM_L.Blight 1722_flipLR.JPG,3,3,"[5.234671334619634e-06, 0.04267358034849167, 0.0011885412968695164, 0.9561325907707214]"
/content/dataset grape disease/Leaf Blight/279579b1-c5b0-4c92-8036-b48b80290d29___FAM_L.Blight 1648_flipLR.JPG,3,3,"[2.3550782657366653e-07, 1.0761983304519163e-07, 5.313069081913646e-11, 0.9999996423721313]"
/content/dataset grape disease/Leaf Blight/b3334167-99da-4b20-9393-fa40fcf04354___FAM_L.Blight 4647_flipLR.JPG,3,3,"[2.389685129465524e-13, 1.547823501313328e-11, 6.25877726923886e-14, 1.0]"
/content/dataset grape disease/ESCA/fb850331-28fc-4d99-bd31-ed2b27bd2b97___FAM_B.Msls 1196_flipLR.JPG,2,2,"[1.0341142215086592e-20, 0.0002847635478246957, 0.999715268611908, 2.6453997683823643e-14]"
/content/dataset grape disease/Leaf Blight/e1a90093-ef1f-449c-a909-cb5bbd9a6f38___FAM_L.Blight 4746.JPG,3,3,"[1.569780069821114e-11, 5.493658306043869e-11, 1.4124167330500925e-12, 1.0]"
/content/dataset grape disease/Black Rot/7e73eb9f-9480-439e-a336-aa75a338f0de___FAM_B.Rot 3094_flipLR.JPG,1,1,"[6.770075494134942e-14, 0.9999998807907104, 1.225873234034225e-07, 7.975597071663287e-09]"
/content/dataset grape disease/Black Rot/5efc6792-c66a-4ec2-8ca2-3a3664c934b8___FAM_B.Rot 0444.JPG,1,1,"[2.4622866611856246e-16, 0.9999754428863525, 2.461206167936325e-05, 3.174936702432518e-10]"
/content/dataset grape disease/Leaf Blight/b69d2a63-5035-4338-93ee-6e00d9604eab___FAM_L.Blight 3744.JPG,3,3,"[1.852890757492176e-11, 2.0505741549214918e-09, 7.140513735848231e-10, 1.0]"
/content/dataset grape disease/Healthy/954cafbf-1b60-4806-bb67-b51799ed369e___Mt.N.V_HL 6090_new30degFlipLR.JPG,0,0,"[1.0, 4.524694494277312e-19, 6.657078483992875e-20, 1.0356083158179989e-14]"
/content/dataset grape disease/ESCA/a21abb93-0bd0-4c29-ba04-6eb888a7d53b___FAM_B.Msls 1806_flipLR.JPG,2,2,"[1.0028876051191326e-16, 2.1660897520092703e-09, 1.0, 1.2205399017861662e-11]"
/content/dataset grape disease/Black Rot/c2b0fdc2-edae-40a8-a908-f0075799e648___FAM_B.Rot 2999_flipLR.JPG,1,1,"[4.475570469786305e-10, 0.9999988079071045, 1.1481661204015836e-06, 1.695011420110859e-08]"
/content/dataset grape disease/Black Rot/82557506-a1bd-48eb-af05-af9271673fd2___FAM_B.Rot 3480.JPG,1,1,"[3.018932881460046e-10, 0.9079857468605042, 0.09201417118310928, 8.253645944478194e-08]"
/content/dataset grape disease/Black Rot/c8bfe895-d9a9-489b-82c3-a038f28640c1___FAM_B.Rot 0400.JPG,1,1,"[3.3697204294550334e-26, 0.9999840259552002, 1.5938216165523045e-05, 1.6518173734072139e-15]"
/content/dataset grape disease/Black Rot/faf6fee8-7092-4955-8c90-abee39bd7bd4___FAM_B.Rot 0473_flipLR.JPG,1,1,"[8.50750286190971e-12, 0.999997615814209, 2.419415977783501e-06, 1.4250179702912646e-08]"
/content/dataset grape disease/Black Rot/f5305b02-0f2c-44a4-a572-69a00304687b___FAM_B.Rot 0714.JPG,1,1,"[3.0746509782630937e-09, 0.9977750182151794, 0.002209860598668456, 1.515989970357623e-05]"
/content/dataset grape disease/ESCA/c5caa15c-6bd9-4a1e-b54f-0f944ef39611___FAM_B.Msls 1003.JPG,2,2,"[1.310041675285584e-35, 3.068879169780373e-20, 1.0, 2.3543244088415798e-24]"
/content/dataset grape disease/Black Rot/47590c82-1467-4008-a9a0-27d9f12bada5___FAM_B.Rot 0594.JPG,1,1,"[1.5557663253478588e-16, 0.9999978542327881, 2.181947138524265e-06, 1.4038091869505998e-11]"
/content/dataset grape disease/Healthy/6de2d606-dc73-4cae-a8f9-e223085e56bd___Mt.N.V_HL 9007_180deg.JPG,0,0,"[1.0, 2.9810664159413136e-08, 1.9386905969476231e-10, 4.437954448377468e-09]"
/content/dataset grape disease/Healthy/789501fb-f627-40eb-bb6d-ffc25e179ad0___Mt.N.V_HL 8908.JPG,0,0,"[0.9999947547912598, 5.214627435634611e-06, 6.164984078793623e-09, 6.152289699912217e-08]"
/content/dataset grape disease/Healthy/bd88082c-b059-4087-88f4-b6ba9cbf07aa___Mt.N.V_HL 6124_270deg.JPG,0,0,"[0.9999985694885254, 1.275194222216669e-06, 4.531928998741108e-10, 2.0503658504367195e-07]"
